"script_path","sha256","size_bytes"
"scripts/analysis/10_S20/01_GSE250636_build_18J.R","e99df8d50f3d881ef1b54db4385506a69a23ddce54363d84204e8ae47e4cc84d","40294"
"scripts/analysis/10_S20/02_Thrane2018_build_18J.R","2f607a1d851da7aa38669b1f35b2dcba80d1d6f5285c051bba88ee43116c30af","56349"
"scripts/analysis/10_S20/03_build_historical_S28_from_18J.R","bcdc7eeda26e384e0a70ec30a32d4cf512a88fab68b89a72ee977db30463d87c","26204"
"scripts/analysis/10_S20/04_GSE250636_build_S20_canonical.R","1bc5ef80ebbc3716f85d3cc4114243853e303d36f431c95a658fe9a6cf6ae759","40519"
"scripts/analysis/10_S20/05_Thrane2018_build_S20_canonical.R","96d7b72800d355a06725f66cfb110f02a68c7e59d7589d767c0d42c8a5831e31","55156"
"scripts/analysis/10_S20/06_verify_S20_locked_state_genes.R","90872fa889e9cb45729c26b1d3ee0cb694175030d3767b7675d524c5e2c9be19","5356"
"scripts/analysis/10_S20/07_S20_aggregate.R","cb614572f675abeadcd8ba5e6acb3bf8d1708f93560c9ee1199a10acdc0e057a","7841"
"scripts/analysis/10_S20/08_S20_make_figure.R","4937d82c2465594ea952bc8dec85b48ec3a8f0533631de19379e279a6f5830f2","27295"
"scripts/analysis/10_S20/09_S20_external_spatial_recurrence_reproduction_check.R","cac0a8ca9b228dba1dd3d1075fd114d04eb773564af0e3d50356736eecd993fd","37977"
"scripts/analysis/10_S20/run_10_S20_full_sequential_reproduction.R","ebb3023726f7ea093a38bf08a3e513950d984c7eea5fb12e05cf8f783e7bcec4","5213"
"scripts/analysis/11_CosMx/01_CosMx_state_scoring.R","8f260c35e12e5262c7076a26ea5b6161980bd13788e66b48c56b0ffab7ab1c88","18123"
"scripts/analysis/11_CosMx/02_CosMx_cell_level_spatial_validation.R","74cd383d080296cddf539c404a235a21f217cb163ad647d5fd1f7356af82605d","28574"
"scripts/analysis/11_CosMx/03_CosMx_metadata_QC_and_technical_sensitivity.R","e424ed68232943e5295f6d48dea1b17cc35208ad43907bfa921daaea23e83c28","22863"
"scripts/analysis/11_CosMx/04_CosMx_make_S21.R","1923c754e1c2fc8d5f67482e687c19fa6067084cfcb050feac572da53f5a466b","16706"
"scripts/analysis/11_CosMx/05_CosMx_make_S22.R","c6bd7bdcbd678af87bc23245dbcbc12c75488954e80827d424af9ac57e710956","29831"
"scripts/analysis/11_CosMx/11_CosMx_reproduction_check.R","32cbbcef6d2911d107df2acd9604a72b44ddda6baed7754c05d71192850bcd65","11557"
"scripts/analysis/11_CosMx/run_11_CosMx_full_sequential_reproduction.R","3ea40cafc16e9e0287f47d458252f4a40d205fba4583e011db84b34b351bdc55","4889"
"scripts/analysis/12_Primary_Visium/01_Visium_build_object_and_state_scoring.R","fc8d6191c1561b15a70fe60e54d4f30e65bdd96ab82f0e5812ce99da89c5af5f","24997"
"scripts/analysis/12_Primary_Visium/02_Visium_spatial_QC_Moran_colocalization.R","b7b1d466989ad2e13787383b1dde541c3bf6e32337467c6c9adff965df80dbc6","47831"
"scripts/analysis/12_Primary_Visium/03_Visium_dual_high_niche_analysis.R","6d6a13147393772823be331c21edf26c2201ebc0254a9daa0e53f3ce32813f0a","29162"
"scripts/analysis/12_Primary_Visium/03B_Visium_make_Figure8.R","ab6fb5fcd37e8ab2e61d928f4b5015c585cd7b9f2d6dc2b309b05494aaf4c3ec","29806"
"scripts/analysis/12_Primary_Visium/04_Visium_threshold_independent_covariation.R","e46bb7507e6a05314ae6a57ee96fd346e492a80085689955a512b6a4fc2a973b","27514"
"scripts/analysis/12_Primary_Visium/05_Visium_composition_aware_analysis.R","dcb9dccfd5d574402d6c143e2a510d9fc2243503c7d5d5cb3f7b9c10ae2acc3a","53623"
"scripts/analysis/12_Primary_Visium/06_Visium_humoral_TLS_context.R","7abf729e635c1ec7ca4751d579820a26ee14b98dd106f0654c5bf565a1f90372","49515"
"scripts/analysis/12_Primary_Visium/07_Visium_primary_canonical_analysis.R","d3668c4c0a5af2d1ef26ea06dc797756c1cbbb403cdcd01ca9a4d027b6c52379","87116"
"scripts/analysis/12_Primary_Visium/08_Visium_make_S15_S19_figures.R","9085162eb1b5501abbdc4eade00fd06cef1432e5919f994deedaad4406f5a79e","39243"
"scripts/analysis/12_Primary_Visium/09_Visium_compare_with_frozen.R","4ce5e14d0e7019d15710a069cb5ff2ed16037eb033f14586ec1314077c0d43f3","17613"
"scripts/analysis/12_Primary_Visium/09A_Visium_diagnose_reproduction_mismatches.R","9aee9b111b57750e56fe134c7cf9409159a099e8b973a3c77da1d84174220532","8610"
"scripts/analysis/12_Primary_Visium/run_12_Primary_Visium_full_sequential_reproduction.R","eea7a273ec9f309a41e931c8dcf263c031cc97352927805acdc3976961e6a123","7158"
"scripts/analysis/13_IF_mIF/00_RUN_IF_mIF_SEQUENTIAL.R","7889424cd3f9d0c4783bc4da51c5543692f11ebaa56d79df08d5a1eeaf8c5f46","7797"
"scripts/analysis/13_IF_mIF/01_IF_mIF_build_CosMx_state_scores.R","07fd8042828986fc0d227be6f4591882aa941b2cc0eb3c4b5e9038ab145799ab","16047"
"scripts/analysis/13_IF_mIF/02_IF_mIF_match_and_correlation.R","541b31abb6bd3baf722f161b15502dcc8d180d709878b3bd416be7cb96531462","15528"
"scripts/analysis/13_IF_mIF/03_IF_mIF_make_S23.R","e473475420ffa76cee5f8f2b57c5ed160aaa22031acbd58f271aa787edc7c569","8230"
"scripts/analysis/13_IF_mIF/04_IF_mIF_make_Supplementary_Table_S23.R","8affa683070a7ef8aca8002f3e254d1cb087a28b42041240b58beda20fe754ff","4504"
"scripts/analysis/13_IF_mIF/05_IF_mIF_compare_with_frozen.R","b7e06b95c7704c7a5afefe65f8050ed2b75f6c311a49c6ae60b76a7a3bab8f4f","10888"
"scripts/analysis/14_CellChat_LR/00_RUN_CellChat_LR_SEQUENTIAL.R","e52d7c4fac8e6709c119c2fbb0aadedb6bd0121a25a30c5d692bd29fe7cf33c2","4110"
"scripts/analysis/14_CellChat_LR/01_CellChat_candidate_LR_nomination.R","850b8f0bb8046bb81a78e56eb2b344cfca6efd1247442c8f230ab4f47045115f","29865"
"scripts/analysis/14_CellChat_LR/02_CosMx_spatial_LR_primary_K20.R","fe976b3bae1b93071e7b5563dd0ff3251e2cafebfb98477703069253e5547aa1","28421"
"scripts/analysis/14_CellChat_LR/03_CosMx_spatial_LR_sensitivity_K10.R","be5f838bf2e9bf6a3cad2c74677506b9d3df9221c2667cb7700478f4552d9cc3","28522"
"scripts/analysis/14_CellChat_LR/04_CosMx_spatial_LR_sensitivity_K30.R","b7ea747402cf01b45541fb2c5a70bd9159932a1155f85d5cecf1c4a334e75ae2","28522"
"scripts/analysis/14_CellChat_LR/05_CellChat_LR_build_reporting_sources.R","486a82341d54c824e8b58cda56dc3a66cc1921388e4bd559d2ea6c5639c46378","13684"
"scripts/analysis/14_CellChat_LR/06_CellChat_LR_make_S24.R","9b515edc3642880cb6a91b982becd039f60527b5e7386179d2ccb10afa9c7e95","6750"
"scripts/analysis/14_CellChat_LR/07_CellChat_LR_make_S25.R","a62b680d6bbff33f7e51a8c97e36a5822cbd2f1c76935b3df8e83784a4469f60","6377"
"scripts/analysis/14_CellChat_LR/08_CellChat_LR_make_S26.R","69baea6b1f66c797d296a75440a0d6225167f7d4902704ecbbaa32743ee9dcc2","5888"
"scripts/analysis/14_CellChat_LR/09_CellChat_LR_make_Supplementary_Tables_S24_S26.R","da0dc9c5c2c7e0798c9d0721b8b5b5c2ff3ae7a79519619f97edc5f9b903874a","4621"
"scripts/analysis/14_CellChat_LR/10_CellChat_LR_compare_with_frozen.R","d953da953f76df47a5dd785925bb73741fee3e16a5eb1d435418a34338a541b0","31208"
"scripts/analysis/15_Additional_robustness/01_GSE244983_patient_level_summary.R","be673b5995be1699d386142b5abbce37045fbf5fe0a2eecef9d8e68654a30701","8650"
"scripts/analysis/15_Additional_robustness/01_make_S29_patient_level_structure.R","3d3c5499f74fca707e8462f304479bcdf76708789d3d1dbb313b697fe57ccbff","9070"
"scripts/analysis/15_Additional_robustness/02_ICB_cross_cohort_comparability.R","b5e16f0358e3cfb7fa0685a1f43dfea4ccec75fdcaac5b0fce9bfbedd43b3324","42449"
"scripts/analysis/15_Additional_robustness/02_make_S30_cross_cohort_robustness.R","5dbc2b866ed73fed2d14bd867202bd46e51aa965a5440cf2e2e01b74a6b89d9e","35173"
"scripts/analysis/15_Additional_robustness/03_make_Table_S29_statistical_analysis_summary.R","059eb43225712a92011ba6fe31cbf521c341f5f4213ccdc3a963caa784592eca","2417"
"scripts/analysis/15_Additional_robustness/03_statistical_testing_inventory.R","44e0065c289b1296d3dd53d8d66e09fbd46ff66c6cb3dd477bc211eaf3f0e32a","14507"
"scripts/analysis/15_Additional_robustness/04_make_Table_S30_cross_cohort_comparability.R","5d91efb5424adf1a6466635804497369d765c086defb18fbf47298303ad81ddb","8462"
"scripts/analysis/15_Additional_robustness/15_Additional_robustness_reproduction_check.R","ba419aa4664ceeec6ff62ca709663235c2c727dae0243889bf852eca95588641","7310"
"scripts/analysis/15_Additional_robustness/run_15_Additional_robustness_full_sequential.R","c31aea6779f954eeb02f9e3297f5f76157d45ec0404edfd57be9ba9a52e6828c","2778"
"scripts/data_acquisition/00_run_data_acquisition.R","9215f23a1ed5876e9d1fa88bccd1c68ca3fff7205c096468fa3692f80068aed3","3795"
"scripts/data_acquisition/01_download_GEO_inputs.R","79e7bb35cd68f35e5a5bb1a6a28ccef7cb1964b54dd346e29af4ef21da4b6dec","7565"
"scripts/data_acquisition/02_prepare_primary_Visium_10x.R","7a11e149db3d3ed7668f812e889ac0e53943d5859706b2656232b548b42fa0b6","6081"
"scripts/data_acquisition/03_prepare_CosMx_Dryad_Slide4.R","6934de3c80eacc1a91aeaf5c4acc6fd059ec4a9a7f43435fa4ff73299fa73df2","19257"
"scripts/data_acquisition/04_prepare_external_spatial_inputs.R","86c88364f4459807882620009311b6f2bc55bc6f4c0f62b0883a84dd929a9151","7399"
"scripts/data_acquisition/05_validate_raw_data_contract.R","1f734d3ae65c6a52eefa8272e64e8f5c8f10dc69359db97eb63280ddffe8fe6f","8649"
"scripts/figures/00_plot_helpers.R","c331f7da13887e571592a0062433503d333bf3742d54b4b08394e7154e045ce0","711"
"scripts/figures/Figure 7.R","b64da8fcc446e2644c69c974d6180de62c185db26de005fa1f0d847cb30659c7","25105"
"scripts/figures/Figure 8.R","5b8eacb177c4cea99073a8b5eadd7895337aeff9a8278d4256d52dad8a1414f4","25904"
"scripts/figures/Figure_2.R","61b32470714f28634fe136bef3d4beca15b77d7f4e7786fc482767387e24f68b","8522"
"scripts/figures/Figure_3.R","c9bebdc01a794c75f6ed15677d4446c9f07f423de7d39088d3dede9b634386af","22386"
"scripts/figures/Figure_4.R","afe3752bb8772b397e3dc03197db110f527943ff259bac378a0a5f0b11d76ef2","7918"
"scripts/figures/Figure_5.R","543bd924468b7dadd93ecc1f2d17b4d6f22da033180823674c2d0e8eb6c102df","21396"
"scripts/figures/Figure_6.R","555e96fd74c93fc548d3a8c2833c3cf2fe5f5a8823c264a32e506b6f8a4541a8","20736"
"scripts/figures/Figure_9_Supplementary Figure S27_Supplementary Figure S28.R","36793c268e5001cbb23e20e99ea9c7ead0c553e07ce54e46d58923be0dfbc060","26058"
"scripts/figures/run_all_figures_sequential.R","1fa899fccc392160eb540e55041fbef263f97d9bce8614fa0e45ed15f4f68f02","5780"
"scripts/figures/Supplementary Figure S10.R","5051d189bea0a921d5cd07cec25c49060198fb8cb840f26ec6f56d53e3d6ff09","5992"
"scripts/figures/Supplementary Figure S11.R","cf9a0ebc96a4072589eb7a06167168582b8b83a99b7aff323b9b72db8aceab03","17841"
"scripts/figures/Supplementary Figure S12.R","894110c662f072789f5df1d2c9c90d3450f6cee6d1f1c66d95ea77e4532705b5","16922"
"scripts/figures/Supplementary Figure S13.R","9241c01f2982a5b385fb46762248eae08c05676acef113704c8872f1d23fabe8","15169"
"scripts/figures/Supplementary Figure S14.R","0d218ddfd179f4e0b4741f386c08bf3663ddfe5d267d1fe6d2de68541e785823","12486"
"scripts/figures/Supplementary Figure S15.R","9fef9ac0219ffbf630b1142e1f240a1f01c1ff8cc6db8b9492fa1cc4d070dfff","16168"
"scripts/figures/Supplementary Figure S16.R","869cf9627722654f97d8f96e7bbfb71d9a2857f334c3891833b15fc51c322081","19856"
"scripts/figures/Supplementary Figure S17.R","abf9c8a9d66f68bc39646ce4283fdbb0b12d5b3157f210e5e597a83975046533","21555"
"scripts/figures/Supplementary Figure S18.R","040889172f624aa9ba73fe765955405309ae0ea65446e3dbd28e392e5c41e549","19725"
"scripts/figures/Supplementary Figure S19.R","758eb8fad0b87101395cae693d82e766e44869d39be9819acab4b246a61a7fc8","24884"
"scripts/figures/Supplementary Figure S2.R","eb997a0e2db432e06e15d2ca399d5dbb36aa30482bcf88846f0278f737e94dc2","9007"
"scripts/figures/Supplementary Figure S20.R","ba3ef4ac661f69f8b1130505af41edaaba3ac7ff2ba3a8feed0f126dbb68688b","26211"
"scripts/figures/Supplementary Figure S21.R","906006b0ab87b2b5eb8f5979625b1c1c3c6b80bcfa8b354cb91073326c2ce33e","14108"
"scripts/figures/Supplementary Figure S22.R","e12b844e075c5f37e312f72493bc7b9791fa826ce2608cd4fa1221fbc29e5adf","25589"
"scripts/figures/Supplementary Figure S23.R","7dbcf6b177a7729738b18a7e7f89810b937ac199bcc2f5189519a6c999fbe07b","13020"
"scripts/figures/Supplementary Figure S24.R","3d0b82ec453b22bf91c71d841343612750c3014f8fda0899a1cf7009af1819f9","20237"
"scripts/figures/Supplementary Figure S25.R","a192215c1f47eeabc03ba781b25205f73155704a6e69f5faf7abc36d750d586f","21506"
"scripts/figures/Supplementary Figure S26.R","02a48d5049af8f1b9776208aa5587ca486e7b6d02f5b4b9664407285a6206766","10848"
"scripts/figures/Supplementary Figure S29.R","028331a99970d1e0bb131579b57f439d6be7a86d7f19cefeae38325d88c1547e","9085"
"scripts/figures/Supplementary Figure S3.R","57b309418c15ba237cf6a69337e74581f363db9c72415ddb879cfd36028474c4","14104"
"scripts/figures/Supplementary Figure S30.R","5b4a254207846da3b3568ea6784fa8f8e08fa1ee967a3ba866d207b1f19fde53","19991"
"scripts/figures/Supplementary Figure S4.R","d33fb1a93880a995d6fec573fb1143b68ee5cb9bac299a7875c183c4ecffaec9","15108"
"scripts/figures/Supplementary Figure S5.R","a4a0db16dd190f9dfa687b885c6d0b9d838a2331d688cd1ae49359bfe85d5348","10759"
"scripts/figures/Supplementary Figure S6.R","cdf4c3683524b19377207c7f7c9df02b61a4d5c9652fb8ee6128eac780f59993","15397"
"scripts/figures/Supplementary Figure S7.R","ca544a84514107ce4def8e6dfb3255d54123485638b800580ae0999fbbcf3a51","9439"
"scripts/figures/Supplementary Figure S8.R","63d0cdbfa806b3a4a79a0325345e8698e68e48573e106a179df1e44ff8956ecb","13878"
"scripts/figures/Supplementary Figure S9.R","f8cfaaab7e98533c56fb006871600f9ec69cd4c6e04f6153761d1b29f63d36e2","11124"
